ABS(NL1-PT1),ABS(NL2-PT2),ABS(NL3-PT3),ABS(WNL1-WPT1),ABS(WNL2-WPT2),ABS(WNL3-WPT3)
gene-LOC117898541,406.0261345,770.689541,39.69203576,1104.237193,13.99893686,112.888241
gene-LOC117898528,119.8378191,751.0991956,221.0509338,889.3163606,216.0842065,413.8806859
gene-LOC117898596,2334.583782,4996.215305,99.20055615,4340.498862,729.4172313,735.3574025
gene-LOC117898426,898.7979928,1574.828861,599.70145,2151.066025,40.91972158,121.4869028
gene-LOC117898487,530.6614589,1707.436952,312.8885544,3015.650956,112.028311,501.5297919
gene-LOC117898397,2611.913977,5583.464957,2815.140305,3979.46681,666.6159303,777.4980365
gene-LOC117898442,2466.458332,7754.133053,1368.270741,11320.80248,139.3687619,913.764272
gene-LOC117898452,1516.916715,1329.850829,422.7512962,72.33946662,712.5267186,1072.345308
gene-LOC117898471,103.125612,279.4683954,52.82485162,270.5711844,79.94939151,181.3009888
gene-LOC117898505,822.5085367,1109.196661,28.62922944,446.3235923,533.8439208,646.0827126
gene-LOC117898572,20.36406538,352.3852019,63.52645236,452.9548585,70.93821041,206.6491121
gene-LOC117903746,155.4469522,439.9791315,129.3256354,824.7719327,339.2278019,323.4100621
gene-LOC117892013,5.524715361,1.916334786,8.736620232,3.210436811,4.081093399,0.837738577
gene-LOC117890087,1769.385716,2170.636088,731.237376,1510.362546,1825.908884,2348.875013
gene-LOC117903363,4088.622737,8643.158304,4809.739932,6270.381255,821.8153932,1011.94135
gene-LOC117903365,270.9700609,390.0796349,172.3177014,563.081965,25.14174263,185.9301334
gene-LOC117890272,0,0,0,0,0,1.050714441
gene-LOC117903464,277.5853915,209.0809547,229.7669227,520.9809732,269.896975,48.168892
gene-LOC117903466,602.6594534,636.1742568,455.100906,647.5956165,1558.468925,878.0201309
gene-LOC117903463,1242.377224,3347.559819,1759.520907,2840.171257,436.2143696,809.3711042
gene-LOC117903469,0,0,4.135075781,0,0,0
gene-LOC117903467,0,0,1.058319928,0,0,0
gene-LOC117903468,0,0,0,0,0,0
gene-LOC117903465,0.945931811,1.02232492,3.199510766,0,0,3.175807307
gene-LOC117894778,0.073120488,0,0,0.181494081,0,0
gene-LOC117897509,990.26448,1529.902028,91.43797981,104.1867846,322.3534624,69.57745155
gene-LOC117900915,174.9237581,428.2216308,277.4332062,269.9635071,73.61622974,173.6618523
gene-LOC117901768,117.1941104,19.1731698,103.0349846,85.4938791,33.76144601,1.675979838
gene-LOC117892351,83.2291278,160.672518,37.41997292,213.9507845,10.39860252,33.19224461
gene-LOC117893052,62.64365596,335.1093296,357.1570718,730.9708471,97.47886555,104.5226742
gene-LOC117893057,2.111225086,1.033989925,0.024550983,2.065015671,0.885784814,3.152143322
gene-LOC117893060,0,0,0,0,0,0
gene-LOC117894235,30.64262544,72.76659234,89.41797415,12.26432104,80.70503819,40.00730469
gene-LOC117894226,1955.600876,4743.523311,1104.524677,1267.609687,243.5931631,3813.857231
gene-LOC117903638,294.0441998,282.4253653,86.00613343,54.27004028,89.90518412,170.1650862
gene-LOC117903819,325.9901225,219.6215115,5.363370767,151.8751586,123.491261,201.7309988
gene-LOC117903704,1105.682084,2186.102625,1165.804407,667.5701323,953.6745695,781.3846012
gene-LOC117892367,24.61636774,94.1714642,40.79749782,70.24310898,77.04098227,61.88316363
gene-LOC117903337,1045.839147,2272.521469,1044.532552,1282.542749,576.1019536,976.2587155
gene-LOC117894282,0,0,1.058319928,0,0,0
gene-LOC117892375,0,0,0,0,0,0
gene-LOC117889610,2884.698691,5126.255789,1398.675933,2332.549453,849.794967,501.5967624
gene-LOC117889611,0,0,0,0,0,0
gene-LOC117889612,199.6631942,108.6688101,64.35938197,15.47059389,4.288453498,67.97430685
gene-LOC117897219,1537.159308,3464.896552,1620.526104,2377.802717,402.751149,558.1343529
gene-LOC117896423,313.9721508,1181.509022,289.7216799,1634.487698,106.6468079,1.356503067
gene-LOC117901738,120.7126374,59.62473947,8.104451935,223.5093502,53.14640316,10.94709345
gene-LOC117895356,93.01954262,204.428558,43.66553131,19.24559723,62.22104552,244.10621
gene-LOC117895424,923.2897918,2930.364164,687.7337463,3250.966329,624.4444107,260.7538623
gene-LOC117893958,76.68791163,614.5631982,186.478363,792.9496109,201.6736698,91.86509734
gene-LOC117893965,360.8181409,398.1705406,251.4531673,400.2352349,70.92050081,92.21622915
gene-LOC117893974,11.75282841,71.64112544,25.44352488,30.9350665,9.857432774,29.49566207
gene-LOC117893951,201.4525726,281.9362594,14.07551804,234.56604,84.63395727,129.749655
gene-LOC117899032,120.5808255,166.4663393,250.6507899,241.4727325,47.59719045,108.295082
gene-Trnag-gcc,0.872811323,2.091309859,3.101306836,3.279017587,0.149431707,1.050714441
gene-LOC117892385,0,0,0,0,0,0
gene-LOC117902577,8.407824096,28.94752238,19.62231433,26.59892505,27.92417531,5.930328659
gene-LOC117895077,1.019052299,0,0,0,0,0
gene-LOC117892404,0,0,0,0,0,0
gene-LOC117892429,0,0,0,0,0,0
gene-LOC117892439,0,0,0,0,0,0
gene-LOC117891248,1.818743135,2.102974864,3.199510766,0.851013754,1.950887675,0.070991955
gene-LOC117892461,0,0,0,0,0,0
gene-LOC117901524,384.7079953,1325.072252,361.4687481,581.576839,743.8867819,579.6337664
gene-LOC117892471,6.850153204,18.9850988,27.86265956,16.43146031,41.16704015,26.60865591
gene-LOC117900768,130.7147021,199.7532435,149.5247028,146.6032529,72.08881073,89.85066847
gene-LOC117900589,2245.988228,5366.345795,2505.969581,6023.118957,772.0468323,694.6305895
gene-LOC117900729,0,0,0,0,0,0
gene-LOC117900761,0,2.056314845,0.98466698,2.609497914,2.747013465,0.04732797
gene-LOC117900739,0,0,0,0,0,0
gene-LOC117900717,2.837795434,0.011665005,0.024550983,3.097523506,0.915671155,3.081151368
gene-LOC117900753,2.038104598,1.033989925,0,0,4.578355775,0
gene-LOC117892481,1.019052299,2.091309859,1.082870911,4.130031341,0.975443838,5.253572204
gene-LOC117903160,0,0,0,0,0,0
gene-LOC117890984,4.153964215,5.958974445,5.539737142,2.710287096,1.782375056,32.42066465
gene-LOC117896741,2.325952019,10.30490423,7.457341461,4.186487994,8.77899454,51.69798346
gene-LOC117896721,0.360967908,15.50984887,5.070640796,18.9481292,4.548469433,3.341455201
gene-LOC117896749,12.08702114,15.40486383,1.006590287,1.746360037,18.81068547,3.469274232
gene-LOC117896730,267.2738642,527.8046385,164.2124256,790.4564548,102.8581467,108.7313707
gene-LOC117889638,410.440215,1344.68583,610.2101724,896.4253546,617.4158955,334.7073079
gene-LOC117889639,19797.44574,1969.98337,14220.01157,21832.06548,7221.2393,13105.89598
gene-LOC117890361,0,2.04464984,2.067537891,0,1.891114993,0
gene-LOC117902120,292.7460627,79.71330883,513.7401431,922.0117377,178.1744696,225.495981
gene-LOC117891813,1.019052299,0,4.233279712,0.488025591,0.945557496,0
gene-LOC117891157,0.146240976,1.04565493,3.224061749,1.214001917,4.727787482,7.378665071
gene-LOC117893744,0.945931811,0.034995015,2.141190838,1.702027508,3.812116327,3.081151368
gene-LOC117892289,43.52779892,57.05516441,103.1322866,169.7018655,16.02619584,96.60873392
gene-LOC117892296,0,0,0,0,0,0
gene-LOC117892685,0,0,0,2.553041262,0,0
gene-LOC117892304,10.34603303,1.846344756,22.12388688,20.31937695,0.478181462,5.618031083
gene-Trnag-ucc,0,0,0,0,0,0
gene-LOC117902200,18.56693738,11.58385926,0.370892415,37.75909684,1.423738959,4.534153552
gene-LOC117892692,0,0,0,0,0,0
gene-Trnag-ucc-2,0,0,0,0,0,0
gene-LOC117903097,1.891863622,0.011665005,2.116639856,0,0,0
gene-LOC117895847,0,0,0,0,0,0
gene-LOC117903383,28.68897441,14.84494359,73.17926395,47.86630874,14.31371324,9.352274922
gene-LOC117903382,103.0689847,562.0188018,128.2022134,687.0724243,67.11687263,75.86491829
gene-LOC117903384,0,0,1.058319928,1.032507835,0,0
gene-LOC117903386,0.945931811,1.04565493,0,0.488025591,3.812116327,0
gene-LOC117903385,0.81719695,96.39108911,65.65442679,19.35581766,105.6982951,34.23329238
gene-LOC117903381,331.4201403,1042.969311,8.885885969,1667.934902,0.921842031,277.282279
gene-LOC117903387,3.998454177,7.051289395,6.619980376,2.290842281,3.165422244,14.23672247
gene-LOC117896133,648.5003898,1602.835616,1232.933775,1704.853887,76.98099692,318.9594157
gene-LOC117892719,1.092172787,1.057319935,2.116639856,1.702027508,0.915671155,1.074378426
gene-LOC117892729,0.945931811,0,0,3.097523506,0,0
gene-LOC117896254,0.141606445,8.166934354,4.849681953,43.05879757,2.956217855,2.172420836
gene-LOC117896346,114.2229456,36.51442444,16.56920756,94.12268345,13.63275858,121.778385
gene-LOC117896247,449.8845616,466.1526379,204.5266308,211.1131349,38.64968329,223.0785942
gene-LOC117896269,2188.023663,3035.74286,183.8579989,568.3571806,2074.497796,830.832637
gene-LOC117896229,40.23583846,207.1548952,8.937459567,328.7261991,56.65665314,69.5086379
gene-LOC117896259,596.8114289,650.5272094,515.8061893,277.0134825,133.3498524,394.3850292
gene-LOC117896250,7.392899834,69.06878579,4.392900109,221.490506,62.87301215,149.8125511
gene-LOC117896349,2.769309477,7.202934458,8.712069249,18.79088336,2.20905932,9.006814255
gene-LOC117896235,251.8531718,55.28853437,263.9855811,700.8738162,252.9321259,51.71580875
gene-LOC117896220,0,0,0,0,0,0
gene-LOC117896321,0,0,0,0,0,0
gene-LOC117896241,0,0,0,0,0,0
gene-LOC117896328,99.42016533,11.13219805,13.66874006,28.29262463,33.43912744,23.92529408
gene-LOC117896163,533.4082354,813.8480957,390.6558687,442.7060717,248.1896317,445.9252142
gene-LOC117896204,0,0,0,0,0,0
gene-LOC117896351,5.182285577,10.98894401,7.086449046,20.80740254,7.635038082,6.01081972
gene-LOC117896199,440.9705607,476.8340963,94.79103175,97.4293777,185.8826158,7.133196362
gene-LOC117896273,519.6883969,1103.33416,365.0744907,344.3986083,74.86876112,216.880976
gene-LOC117896187,9430.036786,16972.10551,5427.105663,14065.72574,3364.551458,4149.914689
gene-LOC117896179,1014.544085,2046.893716,755.4999477,1182.822896,93.61752165,351.2007702
gene-LOC117896121,1639.943579,4215.920108,2257.596621,5612.089232,748.4552305,512.9621516
gene-LOC117896368,0,0,0,1.702027508,0,0
gene-LOC117896337,0,1.02232492,0.049101965,1.339039345,0.029886341,2.986495428
gene-LOC117892736,0,0,0,0,0,0
gene-LOC117896357,0,0,0,0,0,0
gene-LOC117896212,3.235839591,39.55244276,54.14354553,8.925418389,1.026941036,1.467167062
gene-LOC117896170,0,0,1.033768945,0,0,0
gene-LOC117903771,6.548402191,6.308924592,1.895681012,4.856007666,2.0405467,4.060873854
gene-LOC117903770,200.3871369,440.3460813,418.5969247,1100.112797,745.3468383,274.1002979
gene-LOC117903767,474.9556389,1114.27123,413.0953107,525.227951,307.3091416,426.8240478
gene-LOC117903769,1216.961672,1671.319818,757.7970733,1835.230805,290.3974689,204.0390622
gene-LOC117892081,3795.508482,8371.435472,4524.900212,6343.964002,791.0418957,1116.719494
gene-LOC117892148,0,0,0,0,0,0
gene-LOC117892154,1.745622647,2.04464984,5.119742761,5.70702142,9.922950997,4.321177688
gene-LOC117892142,434.2136236,957.6348036,760.5276438,532.4642015,427.8425531,238.2108876
gene-LOC117892062,4049.624299,7963.935692,4411.058442,4447.055448,1129.605034,1491.157795
gene-LOC117892133,289.3990514,1180.283784,733.7907218,210.7064313,389.9340225,457.9157013
gene-LOC117903522,703.7222497,899.4077299,280.4339936,494.7680628,438.0996217,665.1747151
gene-LOC117903520,0,0,0,0,0,0
gene-LOC117903516,0,0,0,0,0,0
gene-LOC117903523,0,0,0,0,0,0
gene-LOC117903521,0,0,0,0,0,0
gene-LOC117903524,3169.406957,4071.760166,1868.041774,137.6936613,3671.11971,4182.868127
gene-LOC117903517,0,0,0,0,0,0
gene-LOC117903526,1.818743135,2.067979849,6.030756794,7.772037091,6.648788816,4.037209869
gene-LOC117892802,1.745622647,2.02131983,8.491110406,4.924588442,0.796125789,4.226521748
gene-LOC117903525,1.778064364,32.13114719,13.32149673,83.02803179,6.526713506,25.03250047
gene-LOC117903519,1261.492441,1104.425989,629.0404984,728.5663684,165.6087535,498.2754264
gene-LOC117903518,54.11379555,66.98627909,37.24729216,99.6583776,29.21044663,36.12241564
gene-LOC117901432,10136.21037,24692.66217,5423.145477,23385.40771,4219.174141,3778.20928
gene-LOC117903149,129.3017147,203.9862094,188.8676134,225.8137877,88.74261974,31.45094395
gene-LOC117903154,430.535965,582.3150861,112.7043861,1079.545172,153.0771073,262.0245124
gene-LOC117903153,2.257466062,2.149634884,0.763708137,8.986039007,5.733117661,1.169034365
gene-LOC117892819,266.6322349,340.1339876,632.1425511,349.285615,183.2607282,597.0629225
gene-LOC117903150,294.1956199,692.0747802,304.0674148,857.2259431,75.48230561,16.55978852
gene-LOC117903152,38.30843709,94.73046291,20.06423202,96.01906471,31.931475,22.19748806
gene-LOC117892835,0,0,3.174959784,1.214001917,1.891114993,0
gene-LOC117892851,0,0,0,2.065015671,0,0
gene-LOC117893038,0,0,0,0,0,0
gene-LOC117893078,0,1.04565493,2.067537891,0,0,0
gene-LOC117893086,1.818743135,5.169949624,4.257830694,3.041066853,1.921001334,6.162302736
gene-LOC117903095,0,0,0,0,0,0
gene-LOC117897365,0,0,0,0.851013754,0,0
gene-LOC117892447,0.799690835,5.228274648,1.082870911,1.032507835,0,0
gene-LOC117889658,0.548919664,70.42376942,16.70427698,1.641774664,44.79477854,27.91484086
gene-LOC117889739,442.6816395,993.1131033,118.6736484,1227.428813,1050.953287,269.1790268
gene-LOC117893126,0.945931811,0,0,0,0,0
gene-LOC117889699,0,0,1.058319928,0,0,0
gene-LOC117893141,0.945931811,0,0,0,0,0
gene-LOC117889729,1.019052299,1.068984939,11.69062117,1.339039345,5.673344978,6.304286645
gene-LOC117893150,0,0,0,0,0,0
gene-LOC117889708,0,0,0,0.851013754,0.915671155,0
gene-LOC117889644,1.891863622,1.033989925,1.033768945,0,2.836672489,0
gene-LOC117889719,0,0,0,0,0,0
gene-LOC117889743,23.981456,12.42701359,24.91391397,11.88578034,1.74421323,54.09754504
gene-LOC117889675,1.019052299,1.033989925,0,0,0,0
gene-LOC117891408,271.9747031,89.03323561,32.93157458,47.16115225,160.3797071,334.1458553
gene-LOC117893162,0,0,0,0,0,0
gene-LOC117893172,1.019052299,4.275939758,3.199510766,0.851013754,12.50145184,0
gene-LOC117893198,0,0,0,0,0,0
gene-LOC117897981,0,0,0,0,0.945557496,0
gene-LOC117896890,0,0,0,0,0,0
gene-LOC117895175,0,0,0,0,0,0
gene-LOC117896757,0,0,0,0,0.945557496,0
gene-LOC117894638,0,0,0,0,0,0
gene-LOC117894973,0,0,0,0,0,0
gene-LOC117898618,27.36920311,2.965263697,49.7770002,67.326344,54.06207431,96.48574822
gene-LOC117898339,226.1735276,692.340408,257.3196382,661.5274316,704.9522562,43.06644174
gene-LOC117894747,8.513386301,2.067979849,1.033768945,0,0,0
gene-LOC117893217,1.891863622,0,2.165741821,3.279017587,1.83134231,2.054100912
gene-LOC117893239,0.945931811,6.203939548,3.101306836,2.553041262,0.885784814,0
gene-LOC117903334,0,5.169949624,4.233279712,3.222560935,0.885784814,0
gene-LOC117893254,0,2.091309859,0,0,0,0
gene-LOC117903338,57.38515387,7.835197174,12.9961767,44.78433778,58.25949748,29.07954457
gene-LOC117903333,241.1400359,490.4720152,730.4904575,207.1592119,358.7228226,664.4511593
gene-LOC117893463,143.7084958,58.33402218,69.43010078,573.6176852,366.1580904,109.1006629
gene-LOC117903336,871.6815488,730.881899,55.77194945,584.1132369,16.30739729,62.52024804
gene-LOC117903339,155.4180939,45.9397484,131.1966094,128.8543087,96.3362804,159.6847635
gene-LOC117903335,772.1748278,1269.035652,998.6878631,3185.206347,953.891316,138.9788026
gene-LOC117903340,656.9483291,751.9666987,530.1991443,978.2417221,131.5916181,167.1131024
gene-LOC117903341,102.0298558,142.4260979,153.3687743,333.5867385,170.0727412,64.67668677
gene-LOC117903342,12.89804506,253.384935,195.6979639,197.7368229,78.66818008,46.30742825
gene-LOC117903364,154.0689579,327.7393017,59.58162718,225.012006,329.0576973,213.5263353
gene-LOC117903397,590.8582347,653.5333122,1365.993944,485.6835597,201.5387321,881.0456281
gene-LOC117903388,254.1652203,574.7224043,135.2528549,368.9750237,163.0584121,251.805834
gene-LOC117903372,38.3872051,126.5797097,110.1274348,479.6753925,221.1227262,196.981717
gene-LOC117896339,91.44438463,627.7274595,517.0441711,713.3813553,76.15245484,132.4458412
gene-LOC117897140,12.51080847,38.73261843,49.65687296,39.74793935,46.52312645,23.68348577
gene-LOC117899488,25.57260062,55.7729354,6.273638944,21.50913062,18.72355639,41.32332386
gene-LOC117895602,233.740944,464.4984624,4.755909497,513.251062,229.5201025,133.3609132
gene-LOC117897945,0,1.04565493,2.116639856,0,0,0
gene-LOC117898690,110.1729861,210.6842746,49.83218139,296.8794983,80.48824397,172.3225043
gene-LOC117894847,18.78010679,131.2979981,46.6398078,197.2153671,49.84325296,5.969330453
gene-LOC117889603,19.59936776,65.18526069,31.57068181,40.76232023,32.60921406,15.48208481
gene-LOC117889607,422.0045091,815.0993307,876.4249496,1674.866223,288.9754789,193.2157922
gene-LOC117889606,8.107105091,44.00335759,60.40577187,22.52951433,32.14067939,41.2523319
gene-LOC117889605,182.0066699,210.5868563,235.0302077,375.8787741,216.0110508,285.4785375
gene-LOC117889604,35.10040469,29.29747253,32.21081116,19.72639821,28.26879038,21.90402114
gene-LOC117893496,0,3.101969774,0,0,0,0
gene-LOC117893603,81.28418228,400.7127847,118.3728794,403.0601558,515.1227991,195.5307256
gene-LOC117893272,179.3655697,361.9529556,103.812733,299.417841,39.57088732,42.24571658
gene-LOC117895280,645.838181,1415.891057,804.7526704,1372.390896,139.6946703,401.9086943
gene-LOC117892189,596.3263417,724.8176247,177.7933164,560.2395343,91.81263742,56.59693102
gene-LOC117892630,9.830587092,72.0069361,82.81023026,52.90834223,35.94705018,3.497771551
gene-LOC117893532,40.10297556,54.58730041,21.94677465,66.42303756,1.418679071,21.30308997
gene-LOC117893539,3.422759337,12.60618418,25.79512167,10.21216505,6.618902474,23.5984965
gene-LOC117892728,0.146240976,0.034995015,7.408239495,0.851013754,6.648788816,2.101428882
gene-LOC117892499,7.274972538,2.032984835,8.515661389,2.008559018,0.089659024,4.368505657
gene-LOC117892672,1.530895714,4.217614733,0.960115997,7.284011499,1.154761886,2.006772942
gene-LOC117892418,13.20236659,17.2670691,22.78676341,27.76896221,35.18655627,12.60390752
gene-LOC117892274,161.495838,265.6681852,170.3772719,51.53403384,74.8280217,212.0166736
gene-LOC117892343,18.38825469,10.35575976,36.85004497,20.2591241,13.07503787,67.96047709
gene-LOC117892656,45.79350203,9.084274229,41.64799728,40.69141436,12.34374465,63.18018459
gene-LOC117894262,605.0426344,2397.302003,1028.465777,2263.737359,337.1975399,472.9988237
gene-LOC117902570,4.661173099,1.197299993,6.128960724,10.1557084,0.616807741,1.888453018
gene-LOC117903362,1333.150013,1203.151098,211.8083517,1149.512131,579.8648424,617.4644871
gene-LOC117903359,831.2999759,1518.077107,304.3544556,1416.515644,277.0794391,99.65524009
gene-LOC117903358,168.7187987,311.2780395,137.5895517,160.7507278,57.76339375,561.9327446
gene-LOC117903361,909.1068545,1079.810476,780.6668988,1400.269948,1212.388923,1708.150698
gene-LOC117893606,214.9829969,308.6536079,930.1147748,137.9625738,707.2510698,412.5974947
gene-LOC117903357,1057.890181,2248.431631,402.3765739,2511.963976,6349.892278,33.68114533
gene-LOC117893643,1.019052299,3.148629794,1.107421893,0.907470406,0.915671155,9.456429967
gene-LOC117903356,89.61995594,45.3663201,64.48033308,119.7178807,72.50837815,38.75794682
gene-LOC117903355,450.5678827,792.648489,967.7779419,271.644347,83.269991,943.0016268
gene-LOC117903360,0,0,0,0,0,0
gene-LOC117893652,9.313077136,1.02232492,0.935565015,10.28074582,0.089659024,7.544312965
gene-LOC117902052,1.019052299,0,0,4.130031341,2.86655883,0
gene-LOC117901983,3566.124934,6342.674073,3698.280343,4782.912328,814.1069868,1589.008231
gene-LOC117891241,2.325952019,1.127309964,8.196498615,3.654129873,0.676580424,7.142025222
gene-Trnaq-uug,0,0,0,0,0,0
gene-LOC117891230,0,0,0,0,0,0
gene-LOC117898844,2.837795434,1.033989925,1.033768945,0,1.83134231,4.108201824
gene-LOC117898826,1.818743135,0.011665005,5.340701605,0,0.089659024,1.050714441
gene-LOC117898835,0,1.04565493,0,0,0,1.027050456
gene-LOC117898818,97.51903265,14.50246294,49.48674186,69.90363351,10.15698184,71.5292406
gene-LOC117903833,121.5329304,97.62993209,55.5131452,58.62675222,11.74923342,1.391341774
gene-LOC117903834,247.7239188,297.4157209,235.9596155,415.3097783,384.0441912,367.1459654
gene-LOC117903838,54.8743271,334.6650407,22.21848321,590.6538806,116.2529732,71.07113115
gene-LOC117903837,18.10247128,99.87473007,78.8426579,87.21525534,160.5158034,42.59634571
gene-LOC117903840,11078.45925,25740.56284,11093.21938,14702.62169,1140.994314,14483.80953
gene-LOC117903835,2443.386991,5511.528784,1485.476317,5203.622028,393.2860005,1078.913339
gene-LOC117903836,39.75694326,48.13092627,17.33118992,47.33395062,10.5613696,15.17378276
gene-LOC117903839,24.36096203,63.0425859,25.20852576,4.01295407,14.17508696,64.17873772
gene-LOC117892679,26.10298216,42.03944125,80.59628837,45.522806,6.355670942,50.3111399
gene-LOC117889915,51.50616915,243.3100569,23.53905894,278.6679984,43.27310507,20.60716774
gene-LOC117889865,3102.065451,14797.06141,5935.318539,20563.03914,2467.49032,1896.195356
gene-LOC117903652,0,0,4.135075781,1.032507835,0,0
gene-LOC117889907,192.8882064,154.1275287,78.7541408,121.0147941,313.2264245,89.36822479
gene-LOC117889886,768.6126212,1852.686976,804.4036232,1465.367423,169.8026054,215.6396092
gene-LOC117889875,117.8640724,126.2155244,143.6599577,129.3148945,229.2675113,158.7495204
gene-LOC117889900,289.6219583,310.8440819,54.89839071,569.9431033,3.616034642,183.6963873
gene-LOC117893662,1.63645792,10.41408479,24.13969513,10.68390255,1.440289928,14.64367599
gene-LOC117889922,698.1548486,1156.096408,725.9688013,1031.309018,97.87197489,308.3569451
gene-LOC117890041,65.98916677,16.85644148,84.6234734,110.9955117,49.74120453,143.6595799
gene-LOC117890067,21.37692563,7.055484906,27.93105715,20.05338177,1.654554205,14.35970817
gene-LOC117890050,896.2402952,1116.871095,451.643805,1300.477233,81.58349349,93.83205663
gene-LOC117889967,71.67192464,461.9142633,262.0769177,1551.89088,31.91175609,158.3898948
gene-LOC117890016,546.6265696,580.2037202,633.923872,430.6986824,94.94448474,236.5634051
gene-LOC117889975,615.9778164,98.89355913,1300.116052,407.5214655,161.136395,1064.560579
gene-LOC117890075,711.9653898,3454.908543,1271.959015,4610.362159,210.4325898,274.6611062
gene-LOC117890031,0,3.148629794,5.38980357,3.404055016,6.678675157,10.15218463
gene-LOC117893674,0,0,0,0,0,0
gene-LOC117890053,741.8885358,1177.938632,790.9801153,2198.052316,629.9071799,283.422735
gene-Trnar-ucg,0,0,0,0,0,0
gene-Trnas-cga,1.891863622,3.136964789,0,4.130031341,3.782229985,0
gene-Trnas-aga,0,0,0,0,0,0
gene-Trnas-aga-2,3.783727245,1.033989925,0,0.669519673,0.915671155,1.027050456
gene-LOC117893695,0,0,0,2.065015671,0,2.101428882
gene-Trnas-aga-3,0,0,0,0,1.891114993,0
